entity,domain,subcategory,source,language
Stephanie Okereke,family_and_kinship,person_name,wikidata,en
Jaja Wachuku,family_and_kinship,person_name,wikidata,en
Nduka Ozokwo,family_and_kinship,person_name,wikidata,en
Onyekachi Apam,family_and_kinship,person_name,wikidata,en
Chidi Nwanu,family_and_kinship,person_name,wikidata,en
Jay-Jay Okocha,family_and_kinship,person_name,wikidata,en
Obinna Nwaneri,family_and_kinship,person_name,wikidata,en
Jude Thaddeus Okolo,family_and_kinship,person_name,wikidata,en
Obinna Ekezie,family_and_kinship,person_name,wikidata,en
Nduka Usim,family_and_kinship,person_name,wikidata,en
Orji Uzor Kalu,family_and_kinship,person_name,wikidata,en
Obi Ikechukwu Charles,family_and_kinship,person_name,wikidata,en
Chidi Imoh,family_and_kinship,person_name,wikidata,en
Cyprian Ekwensi,family_and_kinship,person_name,wikidata,en
Emeka Anyaoku,family_and_kinship,person_name,wikidata,en
Chierika Ukogu,family_and_kinship,person_name,wikidata,en
Mr Raw,family_and_kinship,person_name,wikidata,en
Amarachi,family_and_kinship,person_name,wikidata,en
Ngozi Olejeme,family_and_kinship,person_name,wikidata,en
Sylvia Oluchi,family_and_kinship,person_name,wikidata,en
Chelsea Eze,family_and_kinship,person_name,wikidata,en
Chukwuedu Nwokolo,family_and_kinship,person_name,wikidata,en
Chika Amalaha,family_and_kinship,person_name,wikidata,en
Anna Banner,family_and_kinship,person_name,wikidata,en
Chidi Mokeme,family_and_kinship,person_name,wikidata,en
Ngozi Ezeonu,family_and_kinship,person_name,wikidata,en
Charles Novia,family_and_kinship,person_name,wikidata,en
Amaka Igwe,family_and_kinship,person_name,wikidata,en
Emeka Ike,family_and_kinship,person_name,wikidata,en
Bob-Manuel Udokwu,family_and_kinship,person_name,wikidata,en
Obi Emelonye,family_and_kinship,person_name,wikidata,en
Charity Ogbenyealu Adule,family_and_kinship,person_name,wikidata,en
Nkechi Opara,family_and_kinship,person_name,wikidata,en
Obioma Okoli,family_and_kinship,person_name,wikidata,en
Ndidi Winifred,family_and_kinship,person_name,wikidata,en
Bhaira Mcwizu,family_and_kinship,person_name,wikidata,en
Ann-Kio Briggs,family_and_kinship,person_name,wikidata,en
Azubuike Ihejirika,family_and_kinship,person_name,wikidata,en
Ebele Ofunneamaka Okeke,family_and_kinship,person_name,wikidata,en
Ifeoma Okoye,family_and_kinship,person_name,wikidata,en
Afro Candy,family_and_kinship,person_name,wikidata,en
Chika Okpala,family_and_kinship,person_name,wikidata,en
Chimezie Mbah,family_and_kinship,person_name,wikidata,en
Ndidi Okonkwo Nwuneli,family_and_kinship,person_name,wikidata,en
Wilfred Ndidi,family_and_kinship,person_name,wikidata,en
Willie Obiano,family_and_kinship,person_name,wikidata,en
Ejikeme Ikwunze,family_and_kinship,person_name,wikidata,en
Victor Okezie Ikpeazu,family_and_kinship,person_name,wikidata,en
Chukuemeka Okeke Ifeagwu,family_and_kinship,person_name,wikidata,en
Ngozi Okobi-Okeoghene,family_and_kinship,person_name,wikidata,en
Chisom Chikatara,family_and_kinship,person_name,wikidata,en
Ngozi Ebere,family_and_kinship,person_name,wikidata,en
Chris Ogiemwonyi,family_and_kinship,person_name,wikidata,en
Martina Ohadugha,family_and_kinship,person_name,wikidata,en
Chris Okey Ezike,family_and_kinship,person_name,wikidata,en
Uche Eze,family_and_kinship,person_name,wikidata,en
Kcee,family_and_kinship,person_name,wikidata,en
Chimezie Onwuzulike,family_and_kinship,person_name,wikidata,en
Olaka Nwogu,family_and_kinship,person_name,wikidata,en
Adaora Onyechere,family_and_kinship,person_name,wikidata,en
Amaka Ogoegbunam,family_and_kinship,person_name,wikidata,en
Ngozi Onwumere,family_and_kinship,person_name,wikidata,en
David Nweze Umahi,family_and_kinship,person_name,wikidata,en
Ifeanyi Ugwuanyi,family_and_kinship,person_name,wikidata,en
Chukwuma Azikiwe,family_and_kinship,person_name,wikidata,en
Yul Edochie,family_and_kinship,person_name,wikidata,en
Chukwuemeka Woke,family_and_kinship,person_name,wikidata,en
Chris Okafor,family_and_kinship,person_name,wikidata,en
Flora Azikiwe,family_and_kinship,person_name,wikidata,en
Chiedu Osakwe,family_and_kinship,person_name,wikidata,en
Onyekachi Hope Ugwuadu,family_and_kinship,person_name,wikidata,en
Chinwendu Ihezuo,family_and_kinship,person_name,wikidata,en
Chukwudi Olisakwe,family_and_kinship,person_name,wikidata,en
Chuma Nwokolo,family_and_kinship,person_name,wikidata,en
Chukwuemeka Ujam,family_and_kinship,person_name,wikidata,en
Cecilia Omaile Ojabo,family_and_kinship,person_name,wikidata,en
Charity Angya,family_and_kinship,person_name,wikidata,en
Uche Ekwunife,family_and_kinship,person_name,wikidata,en
Chidozie Awaziem,family_and_kinship,person_name,wikidata,en
Matilda Obaseki,family_and_kinship,person_name,wikidata,en
Jude Akuwudike,family_and_kinship,person_name,wikidata,en
Chika Oduah,family_and_kinship,person_name,wikidata,en
Chigozie Emmanuel Mbah,family_and_kinship,person_name,wikidata,en
Chika Anadu,family_and_kinship,person_name,wikidata,en
Ogechukwukanma Ogwo,family_and_kinship,person_name,wikidata,en
Chinyere Igwe,family_and_kinship,person_name,wikidata,en
Chido Onumah,family_and_kinship,person_name,wikidata,en
Nkechi Egbe,family_and_kinship,person_name,wikidata,en
Nkiru Okosieme,family_and_kinship,person_name,wikidata,en
Chima Nwosu,family_and_kinship,person_name,wikidata,en
Christopher Udeh,family_and_kinship,person_name,wikidata,en
J Martins,family_and_kinship,person_name,wikidata,en
Okey Bakassi,family_and_kinship,person_name,wikidata,en
Ejike Asiegbu,family_and_kinship,person_name,wikidata,en
Obinna Okafor,family_and_kinship,person_name,wikidata,en
Emeka Emerun,family_and_kinship,person_name,wikidata,en
Kelechi Udegbe,family_and_kinship,person_name,wikidata,en
Chigozie Atuanya,family_and_kinship,person_name,wikidata,en
Ruth Kadiri,family_and_kinship,person_name,wikidata,en
Nwanneka Okwelogu,family_and_kinship,person_name,wikidata,en
Ndave David Njoku,family_and_kinship,person_name,wikidata,en
Ijeoma Grace Agu,family_and_kinship,person_name,wikidata,en
Kenneth Uwadi,family_and_kinship,person_name,wikidata,en
Regina Daniels,family_and_kinship,person_name,wikidata,en
Obinna Nwobodo,family_and_kinship,person_name,wikidata,en
Christy Obekpa,family_and_kinship,person_name,wikidata,en
Ezinne Akudo,family_and_kinship,person_name,wikidata,en
Onyeka Azike,family_and_kinship,person_name,wikidata,en
Onyinye Chikezie,family_and_kinship,person_name,wikidata,en
Chioma Omeruah,family_and_kinship,person_name,wikidata,en
Nkiru Njoku,family_and_kinship,person_name,wikidata,en
Chineze Anyaene,family_and_kinship,person_name,wikidata,en
Onyeka Onwenu,family_and_kinship,person_name,wikidata,en
Muna,family_and_kinship,person_name,wikidata,en
Ndubisi Chukunyere,family_and_kinship,person_name,wikidata,en
Mbachu Uchenna Emenike,family_and_kinship,person_name,wikidata,en
Onyekachukwu Aloso,family_and_kinship,person_name,wikidata,en
Ndukaku Alison,family_and_kinship,person_name,wikidata,en
James O. C. Ezeilo,family_and_kinship,person_name,wikidata,en
Christopher Nwankwo,family_and_kinship,person_name,wikidata,en
Joe Kalu-Igboama,family_and_kinship,person_name,wikidata,en
Ndubuisi Kanu,family_and_kinship,person_name,wikidata,en
Rochas Okorocha,family_and_kinship,person_name,wikidata,en
Unoma Nguemo Azuah,family_and_kinship,person_name,wikidata,en
Emeka Eze,family_and_kinship,person_name,wikidata,en
Augustine Aniebo,family_and_kinship,person_name,wikidata,en
Ogbonnaya Onu,family_and_kinship,person_name,wikidata,en
Chineze Nwagbo,family_and_kinship,person_name,wikidata,en
Chris Obekpa,family_and_kinship,person_name,wikidata,en
Chi-Chi Igbo,family_and_kinship,person_name,wikidata,en
Ndidi Kanu,family_and_kinship,person_name,wikidata,en
Chukwudi Chukwuma,family_and_kinship,person_name,wikidata,en
Ngozi Onwurah,family_and_kinship,person_name,wikidata,en
Ini Edo,family_and_kinship,person_name,wikidata,en
Kelechi Iheanacho,family_and_kinship,person_name,wikidata,en
Vivica Rayy,family_and_kinship,person_name,wikidata,en
Obi Wali,family_and_kinship,person_name,wikidata,en
Joseph Achuzie,family_and_kinship,person_name,wikidata,en
Chuku Wachuku,family_and_kinship,person_name,wikidata,en
A-Q,family_and_kinship,person_name,wikidata,en
Judith Amaechi,family_and_kinship,person_name,wikidata,en
Nwabueze Nwokolo,family_and_kinship,person_name,wikidata,en
John Okafor,family_and_kinship,person_name,wikidata,en
Chidinma Ekile,family_and_kinship,person_name,wikidata,en
Clem Ohameze,family_and_kinship,person_name,wikidata,en
Chibuzor Obasi,family_and_kinship,person_name,wikidata,en
Chioma Toplis,family_and_kinship,person_name,wikidata,en
Blossom Nnodim,family_and_kinship,person_name,wikidata,en
Bovi,family_and_kinship,person_name,wikidata,en
Chioma Okoye,family_and_kinship,person_name,wikidata,en
Amaka Osakwe,family_and_kinship,person_name,wikidata,en
Obisia Nwankpa,family_and_kinship,person_name,wikidata,en
Christian Obiozor,family_and_kinship,person_name,wikidata,en
Chibundu Onuzo,family_and_kinship,person_name,wikidata,en
Chidi Osuchukwu,family_and_kinship,person_name,wikidata,en
Chidiebere Nwakali,family_and_kinship,person_name,wikidata,en
Nwogu Chukwudi,family_and_kinship,person_name,wikidata,en
Chidera Ezeh,family_and_kinship,person_name,wikidata,en
Belinda Effah,family_and_kinship,person_name,wikidata,en
Chris Nkulor,family_and_kinship,person_name,wikidata,en
